Anio,Comunes,Elite,Recursos,Alimento
83.0,502.9618170081438,125.74045425203595,97.83144976588767,75.77604930537213
84.0,513.1223196949346,128.28057992373365,97.78766157271554,77.64471433758354
85.0,523.4880781535179,130.87201953837948,97.74298961056066,79.55012033223323
86.0,534.0632388153683,133.51580970384208,97.69741607396953,81.49296836292514
87.0,544.8520319021046,136.21300797552615,97.65092274746942,83.47397199308463
88.0,555.8587730625907,138.96469326564767,97.6034911260846,85.49385744829722
89.0,567.0878651411348,141.7719662852837,97.555102279003,87.55336381161041
90.0,578.543799934111,144.63594998352775,97.5057368917485,89.65324320581402
91.0,590.2311599542501,147.55778998856252,97.45537531511842,91.79426097422524
92.0,602.154620309989,150.53865507749725,97.4039974398986,93.97719587781997
93.0,614.3189505474425,153.5797376368606,97.35158278200147,96.2028402749868
94.0,626.7290165486576,156.6822541371644,97.29811047196765,98.47200030906174
95.0,639.3897825167588,159.8474456291897,97.24355916135471,100.78549610415405
96.0,652.3063129265214,163.07657823163035,97.18790711407249,103.14416194470948
97.0,665.483774551914,166.3709436379785,97.1311321697013,105.54884646577001
98.0,678.92743856403,169.7318596410075,97.07321167019448,108.0004128468924
99.0,692.642682607355,173.16067065183876,97.01412254091548,110.49973899190836
100.0,706.6349929529306,176.65874823823265,96.95384125727576,113.04771771795255
101.0,720.9099667194544,180.2274916798636,96.89234377520918,115.6452569471843
102.0,735.4733140890997,183.86832852227494,96.82960559136461,118.29327988620791
103.0,750.3308605865892,187.5827151466473,96.7656017370317,120.99272521021159
104.0,765.488549431304,191.372137357826,96.70030670255558,123.74454725133924
105.0,780.9524439073953,195.23811097684882,96.63369446345791,126.54971617718638
106.0,796.7287297728776,199.1821824432194,96.5657385159756,129.40921816674881
107.0,812.823717748581,203.20592943714524,96.49641179911225,132.32405559307105
108.0,829.2438460531982,207.31096151329956,96.42568668417489,135.2952471989991
109.0,845.9956829551132,211.4989207387783,96.35353502230144,138.3238282643972
110.0,863.0859294069259,215.77148235173146,96.27992810571654,141.41085077820628
111.0,880.5214217365118,220.13035543412795,96.20483662529729,144.5573836072942
112.0,898.3091343791598,224.57728359478995,96.12823067620828,147.76451265772238
113.0,916.4561826541221,229.11404566353053,96.05007978864644,151.03334103000776
114.0,934.9698256184408,233.7424564046102,95.970352873706,154.36498917684702
115.0,953.8574689782006,238.46436724455015,95.88901820132972,157.76059505379655
116.0,973.1266680470925,243.28166701177312,95.8060434007811,161.22131426256342
117.0,992.7851307594792,248.1962826898698,95.72139548053372,164.7483201872981
118.0,1012.8407207593759,253.21018018984398,95.63504078342679,168.34280413008537
119.0,1033.30146054989,258.3253651374725,95.54694496562247,172.0059754380149
120.0,1054.1755347044764,263.5438836761191,95.45707298720184,175.73906162226578
121.0,1075.4712931304384,268.8678232826096,95.36538912123389,179.54330846773698
122.0,1097.197254413375,274.29931360334376,95.27185693535485,183.41998013736662
123.0,1119.3621092255325,279.84052730638314,95.17643925966809,187.37035926845212
124.0,1141.9747238050038,285.49368095125095,95.07909817400976,191.39574705827488
125.0,1165.0441435024206,291.26103587560516,94.97979499574835,195.49746333957103
126.0,1188.579596392531,297.1448990981327,94.87849027859049,199.67684664430777
127.0,1212.5904969694604,303.1476242423651,94.77514379503671,203.93525425779714
128.0,1237.0864499123213,309.2716124780803,94.66971450895777,208.27406226130265
129.0,1262.0772539284148,315.5193134821037,94.56216056080241,212.6946655608002
130.0,1287.5729056735581,321.89322641838953,94.45243925274758,217.19847790201996
131.0,1313.583603750217,328.39590093755425,94.34050703349452,221.78693187094115
132.0,1340.1197527837255,335.0299381959314,94.22631948802265,226.46147887840667
133.0,1367.1919675872375,341.7979918968094,94.10983131958572,231.22358912913325
134.0,1394.8110774071172,348.7027693517793,93.99099632602213,236.07475157380225
135.0,1422.9881302551107,355.7470325637777,93.8697673825825,241.0164738422101
136.0,1451.7343973279378,362.93359933198445,93.74609642455984,246.0502821569747
137.0,1481.0613775159602,370.26534437899005,93.61993442946222,251.17772122670075
138.0,1510.9808020028115,377.7452005007029,93.49123139873521,256.40035411743344
139.0,1541.5046389578092,385.3761597394523,93.35993633901683,261.7197621011768
140.0,1572.6450983223608,393.1612745805902,93.22599724367812,267.1375444801355
141.0,1604.414636695285,401.10365917382126,93.08936107395255,272.65531838533917
142.0,1636.8259623154763,409.2064905788691,92.94997373667644,278.274718548608
143.0,1669.8920401452524,417.4730100363131,92.80778006379529,283.99739704585454
144.0,1703.626097056562,425.9065242641405,92.6627237917597,289.8250230103657
145.0,1738.0416271219244,434.5104067804811,92.51474754050167,295.75928231449547
146.0,1773.1523970122362,443.28809925305904,92.363792791996,301.8018772180899
147.0,1808.9724515036148,452.2431128759037,92.20979986841022,307.95452598189297
148.0,1845.5161190954861,461.37902977387154,92.05270790984683,314.2189624441003
149.0,1882.7980177421664,470.6995044355416,91.89245485168024,320.59693555814874
150.0,1920.8330606982856,480.2082651745714,91.72897740863097,327.0902088889261
